id,channel,direction,source_agent,target_agent,event_type,related_code,title,summary,payload_json,status,created_at
11,zipper,inbound,지퍼단추사,플랫폼,agent_report_import,지퍼테이프,원자재 입고 보고,지퍼단추사 지퍼테이프 입고. 공급사 Shenzhen Zipper Tape. 납기 2022-12-22 / 실제 2022-12-24 / 지연 2일,"{'company_id': 3, 'company_name': '지퍼단추사', 'material': '지퍼테이프', 'material_display_name': '지퍼테이프', 'qty': 71347.0, 'unit': 'm', 'weight_kg': None, 'quantity_basis': 'agent_logic_required_qty_plus_buffer', 'supplier': 'Shenzhen Zipper Tape', 'supplier_company': 'Shenzhen Zipper Tape', 'arrival_date': '2022-12-24', 'due_date': '2022-12-22', 'order_date': '2022-11-07', 'delay_days': 2, 'bl_number': 'BL-MAT-0011', 'port_of_loading': 'Busan', 'port_of_discharge': 'Busan, Republic of Korea', 'receiving_company_location': '지퍼단추사 공장', 'round_trip_candidate': False, 'round_trip_target_shipment_id': None, 'free_storage_until': None, 'risk_stage': 'normal_variation', 'report_id': 'demo-MAT-0011'}",수신완료,2022-12-24T09:00:00
12,fabric,inbound,옷감사,플랫폼,agent_report_import,면 원사,원자재 입고 보고,옷감사 면 원사 입고. 공급사 Qingdao Cotton Trading. 납기 2023-03-22 / 실제 2023-03-25 / 지연 3일,"{'company_id': 1, 'company_name': '옷감사', 'material': '면 원사', 'material_display_name': '면 원사', 'qty': 38705.2, 'unit': 'kg', 'weight_kg': 38705.2, 'quantity_basis': 'agent_logic_required_qty_plus_buffer', 'supplier': 'Qingdao Cotton Trading', 'supplier_company': 'Qingdao Cotton Trading', 'arrival_date': '2023-03-25', 'due_date': '2023-03-22', 'order_date': '2023-02-05', 'delay_days': 3, 'bl_number': 'BL-MAT-0012', 'port_of_loading': 'Shanghai', 'port_of_discharge': 'Busan, Republic of Korea', 'receiving_company_location': '옷감사 공장', 'round_trip_candidate': False, 'round_trip_target_shipment_id': None, 'free_storage_until': None, 'risk_stage': 'normal_variation', 'report_id': 'demo-MAT-0012'}",수신완료,2023-03-25T09:00:00
13,fabric,inbound,옷감사,플랫폼,agent_report_import,폴리에스터 원사,원자재 입고 보고,옷감사 폴리에스터 원사 입고. 공급사 Sino Poly Fiber. 납기 2023-03-22 / 실제 2023-03-25 / 지연 3일,"{'company_id': 1, 'company_name': '옷감사', 'material': '폴리에스터 원사', 'material_display_name': '폴리에스터 원사', 'qty': 56305.5, 'unit': 'kg', 'weight_kg': 56305.5, 'quantity_basis': 'agent_logic_required_qty_plus_buffer', 'supplier': 'Sino Poly Fiber', 'supplier_company': 'Sino Poly Fiber', 'arrival_date': '2023-03-25', 'due_date': '2023-03-22', 'order_date': '2023-02-05', 'delay_days': 3, 'bl_number': 'BL-MAT-0013', 'port_of_loading': 'Busan', 'port_of_discharge': 'Busan, Republic of Korea', 'receiving_company_location': '옷감사 공장', 'round_trip_candidate': False, 'round_trip_target_shipment_id': None, 'free_storage_until': None, 'risk_stage': 'normal_variation', 'report_id': 'demo-MAT-0013'}",수신완료,2023-03-25T09:00:00
14,fabric,inbound,옷감사,플랫폼,agent_report_import,린넨 원사,원자재 입고 보고,옷감사 린넨 원사 입고. 공급사 Linen Mill Partners. 납기 2023-03-22 / 실제 2023-03-28 / 지연 6일,"{'company_id': 1, 'company_name': '옷감사', 'material': '린넨 원사', 'material_display_name': '린넨 원사', 'qty': 81943.9, 'unit': 'kg', 'weight_kg': 81943.9, 'quantity_basis': 'agent_logic_required_qty_plus_buffer', 'supplier': 'Linen Mill Partners', 'supplier_company': 'Linen Mill Partners', 'arrival_date': '2023-03-28', 'due_date': '2023-03-22', 'order_date': '2023-02-05', 'delay_days': 6, 'bl_number': 'BL-MAT-0014', 'port_of_loading': 'Busan', 'port_of_discharge': 'Busan, Republic of Korea', 'receiving_company_location': '옷감사 공장', 'round_trip_candidate': False, 'round_trip_target_shipment_id': None, 'free_storage_until': None, 'risk_stage': 'normal_variation', 'report_id': 'demo-MAT-0014'}",수신완료,2023-03-28T09:00:00
15,fabric,inbound,옷감사,플랫폼,agent_report_import,울 원사,원자재 입고 보고,옷감사 울 원사 입고. 공급사 Ulaan Wool Trading. 납기 2023-03-22 / 실제 2023-03-28 / 지연 6일,"{'company_id': 1, 'company_name': '옷감사', 'material': '울 원사', 'material_display_name': '울 원사', 'qty': 38865.2, 'unit': 'kg', 'weight_kg': 38865.2, 'quantity_basis': 'agent_logic_required_qty_plus_buffer', 'supplier': 'Ulaan Wool Trading', 'supplier_company': 'Ulaan Wool Trading', 'arrival_date': '2023-03-28', 'due_date': '2023-03-22', 'order_date': '2023-02-05', 'delay_days': 6, 'bl_number': 'BL-MAT-0015', 'port_of_loading': 'Busan', 'port_of_discharge': 'Busan, Republic of Korea', 'receiving_company_location': '옷감사 공장', 'round_trip_candidate': False, 'round_trip_target_shipment_id': None, 'free_storage_until': None, 'risk_stage': 'normal_variation', 'report_id': 'demo-MAT-0015'}",수신완료,2023-03-28T09:00:00
16,fabric,inbound,옷감사,플랫폼,agent_report_import,혼방 원사,원자재 입고 보고,옷감사 혼방 원사 입고. 공급사 Mixed Yarn Korea. 납기 2023-03-22 / 실제 2023-03-22 / 지연 0일,"{'company_id': 1, 'company_name': '옷감사', 'material': '혼방 원사', 'material_display_name': '혼방 원사', 'qty': 23832.2, 'unit': 'kg', 'weight_kg': 23832.2, 'quantity_basis': 'agent_logic_required_qty_plus_buffer', 'supplier': 'Mixed Yarn Korea', 'supplier_company': 'Mixed Yarn Korea', 'arrival_date': '2023-03-22', 'due_date': '2023-03-22', 'order_date': '2023-02-05', 'delay_days': 0, 'bl_number': 'BL-MAT-0016', 'port_of_loading': 'Busan', 'port_of_discharge': 'Busan, Republic of Korea', 'receiving_company_location': '옷감사 공장', 'round_trip_candidate': False, 'round_trip_target_shipment_id': None, 'free_storage_until': None, 'risk_stage': 'normal_variation', 'report_id': 'demo-MAT-0016'}",수신완료,2023-03-22T09:00:00
17,fabric,inbound,옷감사,플랫폼,agent_report_import,염료,원자재 입고 보고,옷감사 염료 입고. 공급사 Korea Dye Works. 납기 2023-03-22 / 실제 2023-03-25 / 지연 3일,"{'company_id': 1, 'company_name': '옷감사', 'material': '염료', 'material_display_name': '염료', 'qty': 11133.1, 'unit': 'kg', 'weight_kg': 11133.1, 'quantity_basis': 'agent_logic_required_qty_plus_buffer', 'supplier': 'Korea Dye Works', 'supplier_company': 'Korea Dye Works', 'arrival_date': '2023-03-25', 'due_date': '2023-03-22', 'order_date': '2023-02-05', 'delay_days': 3, 'bl_number': 'BL-MAT-0017', 'port_of_loading': 'Busan', 'port_of_discharge': 'Busan, Republic of Korea', 'receiving_company_location': '옷감사 공장', 'round_trip_candidate': False, 'round_trip_target_shipment_id': None, 'free_storage_until': None, 'risk_stage': 'normal_variation', 'report_id': 'demo-MAT-0017'}",수신완료,2023-03-25T09:00:00
18,label,inbound,케어라벨사,플랫폼,agent_report_import,라벨원단,원자재 입고 보고,케어라벨사 라벨원단 입고. 공급사 Apex Label Materials. 납기 2023-03-22 / 실제 2023-03-26 / 지연 4일,"{'company_id': 2, 'company_name': '케어라벨사', 'material': '라벨원단', 'material_display_name': '라벨원단', 'qty': 18606.0, 'unit': 'm', 'weight_kg': 465.15, 'quantity_basis': 'agent_logic_required_qty_plus_buffer', 'supplier': 'Apex Label Materials', 'supplier_company': 'Apex Label Materials', 'arrival_date': '2023-03-26', 'due_date': '2023-03-22', 'order_date': '2023-02-05', 'delay_days': 4, 'bl_number': 'BL-MAT-0018', 'port_of_loading': 'Busan', 'port_of_discharge': 'Busan, Republic of Korea', 'receiving_company_location': '케어라벨사 공장', 'round_trip_candidate': False, 'round_trip_target_shipment_id': None, 'free_storage_until': None, 'risk_stage': 'normal_variation', 'report_id': 'demo-MAT-0018'}",수신완료,2023-03-26T09:00:00
19,label,inbound,케어라벨사,플랫폼,agent_report_import,잉크,원자재 입고 보고,케어라벨사 잉크 입고. 공급사 Korea Ink Supply. 납기 2023-03-22 / 실제 2023-03-22 / 지연 0일,"{'company_id': 2, 'company_name': '케어라벨사', 'material': '잉크', 'material_display_name': '잉크', 'qty': 52.0, 'unit': '통', 'weight_kg': 5.2, 'quantity_basis': 'agent_logic_required_qty_plus_buffer', 'supplier': 'Korea Ink Supply', 'supplier_company': 'Korea Ink Supply', 'arrival_date': '2023-03-22', 'due_date': '2023-03-22', 'order_date': '2023-02-05', 'delay_days': 0, 'bl_number': 'BL-MAT-0019', 'port_of_loading': 'Busan', 'port_of_discharge': 'Busan, Republic of Korea', 'receiving_company_location': '케어라벨사 공장', 'round_trip_candidate': False, 'round_trip_target_shipment_id': None, 'free_storage_until': None, 'risk_stage': 'normal_variation', 'report_id': 'demo-MAT-0019'}",수신완료,2023-03-22T09:00:00
20,zipper,inbound,지퍼단추사,플랫폼,agent_report_import,플라스틱원료,원자재 입고 보고,지퍼단추사 플라스틱원료 입고. 공급사 Ningbo Resin Parts. 납기 2023-03-22 / 실제 2023-03-27 / 지연 5일,"{'company_id': 3, 'company_name': '지퍼단추사', 'material': '플라스틱원료', 'material_display_name': '플라스틱원료', 'qty': 980.5, 'unit': 'kg', 'weight_kg': 980.5, 'quantity_basis': 'agent_logic_required_qty_plus_buffer', 'supplier': 'Ningbo Resin Parts', 'supplier_company': 'Ningbo Resin Parts', 'arrival_date': '2023-03-27', 'due_date': '2023-03-22', 'order_date': '2023-02-05', 'delay_days': 5, 'bl_number': 'BL-MAT-0020', 'port_of_loading': 'Shanghai', 'port_of_discharge': 'Busan, Republic of Korea', 'receiving_company_location': '지퍼단추사 공장', 'round_trip_candidate': False, 'round_trip_target_shipment_id': None, 'free_storage_until': None, 'risk_stage': 'normal_variation', 'report_id': 'demo-MAT-0020'}",수신완료,2023-03-27T09:00:00
21,zipper,inbound,지퍼단추사,플랫폼,agent_report_import,금속원료,원자재 입고 보고,지퍼단추사 금속원료 입고. 공급사 Qingdao Metal Parts. 납기 2023-03-22 / 실제 2023-03-24 / 지연 2일,"{'company_id': 3, 'company_name': '지퍼단추사', 'material': '금속원료', 'material_display_name': '금속원료', 'qty': 1160.8, 'unit': 'kg', 'weight_kg': 1160.8, 'quantity_basis': 'agent_logic_required_qty_plus_buffer', 'supplier': 'Qingdao Metal Parts', 'supplier_company': 'Qingdao Metal Parts', 'arrival_date': '2023-03-24', 'due_date': '2023-03-22', 'order_date': '2023-02-05', 'delay_days': 2, 'bl_number': 'BL-MAT-0021', 'port_of_loading': 'Shanghai', 'port_of_discharge': 'Busan, Republic of Korea', 'receiving_company_location': '지퍼단추사 공장', 'round_trip_candidate': False, 'round_trip_target_shipment_id': None, 'free_storage_until': None, 'risk_stage': 'normal_variation', 'report_id': 'demo-MAT-0021'}",수신완료,2023-03-24T09:00:00
22,zipper,inbound,지퍼단추사,플랫폼,agent_report_import,지퍼테이프,원자재 입고 보고,지퍼단추사 지퍼테이프 입고. 공급사 Shenzhen Zipper Tape. 납기 2023-03-22 / 실제 2023-03-23 / 지연 1일,"{'company_id': 3, 'company_name': '지퍼단추사', 'material': '지퍼테이프', 'material_display_name': '지퍼테이프', 'qty': 131460.0, 'unit': 'm', 'weight_kg': None, 'quantity_basis': 'agent_logic_required_qty_plus_buffer', 'supplier': 'Shenzhen Zipper Tape', 'supplier_company': 'Shenzhen Zipper Tape', 'arrival_date': '2023-03-23', 'due_date': '2023-03-22', 'order_date': '2023-02-05', 'delay_days': 1, 'bl_number': 'BL-MAT-0022', 'port_of_loading': 'Busan', 'port_of_discharge': 'Busan, Republic of Korea', 'receiving_company_location': '지퍼단추사 공장', 'round_trip_candidate': False, 'round_trip_target_shipment_id': None, 'free_storage_until': None, 'risk_stage': 'normal_variation', 'report_id': 'demo-MAT-0022'}",수신완료,2023-03-23T09:00:00
23,fabric,inbound,옷감사,플랫폼,agent_report_import,면 원사,원자재 입고 보고,옷감사 면 원사 입고. 공급사 Qingdao Cotton Trading. 납기 2023-06-21 / 실제 2023-06-23 / 지연 2일,"{'company_id': 1, 'company_name': '옷감사', 'material': '면 원사', 'material_display_name': '면 원사', 'qty': 16387.4, 'unit': 'kg', 'weight_kg': 16387.4, 'quantity_basis': 'agent_logic_required_qty_plus_buffer', 'supplier': 'Qingdao Cotton Trading', 'supplier_company': 'Qingdao Cotton Trading', 'arrival_date': '2023-06-23', 'due_date': '2023-06-21', 'order_date': '2023-05-07', 'delay_days': 2, 'bl_number': 'BL-MAT-0023', 'port_of_loading': 'Shanghai', 'port_of_discharge': 'Busan, Republic of Korea', 'receiving_company_location': '옷감사 공장', 'round_trip_candidate': False, 'round_trip_target_shipment_id': None, 'free_storage_until': None, 'risk_stage': 'normal_variation', 'report_id': 'demo-MAT-0023'}",수신완료,2023-06-23T09:00:00
24,fabric,inbound,옷감사,플랫폼,agent_report_import,폴리에스터 원사,원자재 입고 보고,옷감사 폴리에스터 원사 입고. 공급사 Sino Poly Fiber. 납기 2023-06-21 / 실제 2023-06-26 / 지연 5일,"{'company_id': 1, 'company_name': '옷감사', 'material': '폴리에스터 원사', 'material_display_name': '폴리에스터 원사', 'qty': 30824.3, 'unit': 'kg', 'weight_kg': 30824.3, 'quantity_basis': 'agent_logic_required_qty_plus_buffer', 'supplier': 'Sino Poly Fiber', 'supplier_company': 'Sino Poly Fiber', 'arrival_date': '2023-06-26', 'due_date': '2023-06-21', 'order_date': '2023-05-07', 'delay_days': 5, 'bl_number': 'BL-MAT-0024', 'port_of_loading': 'Busan', 'port_of_discharge': 'Busan, Republic of Korea', 'receiving_company_location': '옷감사 공장', 'round_trip_candidate': False, 'round_trip_target_shipment_id': None, 'free_storage_until': None, 'risk_stage': 'normal_variation', 'report_id': 'demo-MAT-0024'}",수신완료,2023-06-26T09:00:00
25,fabric,inbound,옷감사,플랫폼,agent_report_import,린넨 원사,원자재 입고 보고,옷감사 린넨 원사 입고. 공급사 Linen Mill Partners. 납기 2023-06-21 / 실제 2023-06-22 / 지연 1일,"{'company_id': 1, 'company_name': '옷감사', 'material': '린넨 원사', 'material_display_name': '린넨 원사', 'qty': 101785.2, 'unit': 'kg', 'weight_kg': 101785.2, 'quantity_basis': 'agent_logic_required_qty_plus_buffer', 'supplier': 'Linen Mill Partners', 'supplier_company': 'Linen Mill Partners', 'arrival_date': '2023-06-22', 'due_date': '2023-06-21', 'order_date': '2023-05-07', 'delay_days': 1, 'bl_number': 'BL-MAT-0025', 'port_of_loading': 'Busan', 'port_of_discharge': 'Busan, Republic of Korea', 'receiving_company_location': '옷감사 공장', 'round_trip_candidate': False, 'round_trip_target_shipment_id': None, 'free_storage_until': None, 'risk_stage': 'normal_variation', 'report_id': 'demo-MAT-0025'}",수신완료,2023-06-22T09:00:00
26,fabric,inbound,옷감사,플랫폼,agent_report_import,울 원사,원자재 입고 보고,옷감사 울 원사 입고. 공급사 Ulaan Wool Trading. 납기 2023-06-21 / 실제 2023-06-26 / 지연 5일,"{'company_id': 1, 'company_name': '옷감사', 'material': '울 원사', 'material_display_name': '울 원사', 'qty': 50552.8, 'unit': 'kg', 'weight_kg': 50552.8, 'quantity_basis': 'agent_logic_required_qty_plus_buffer', 'supplier': 'Ulaan Wool Trading', 'supplier_company': 'Ulaan Wool Trading', 'arrival_date': '2023-06-26', 'due_date': '2023-06-21', 'order_date': '2023-05-07', 'delay_days': 5, 'bl_number': 'BL-MAT-0026', 'port_of_loading': 'Busan', 'port_of_discharge': 'Busan, Republic of Korea', 'receiving_company_location': '옷감사 공장', 'round_trip_candidate': False, 'round_trip_target_shipment_id': None, 'free_storage_until': None, 'risk_stage': 'normal_variation', 'report_id': 'demo-MAT-0026'}",수신완료,2023-06-26T09:00:00
27,fabric,inbound,옷감사,플랫폼,agent_report_import,혼방 원사,원자재 입고 보고,옷감사 혼방 원사 입고. 공급사 Mixed Yarn Korea. 납기 2023-06-21 / 실제 2023-06-22 / 지연 1일,"{'company_id': 1, 'company_name': '옷감사', 'material': '혼방 원사', 'material_display_name': '혼방 원사', 'qty': 38624.1, 'unit': 'kg', 'weight_kg': 38624.1, 'quantity_basis': 'agent_logic_required_qty_plus_buffer', 'supplier': 'Mixed Yarn Korea', 'supplier_company': 'Mixed Yarn Korea', 'arrival_date': '2023-06-22', 'due_date': '2023-06-21', 'order_date': '2023-05-07', 'delay_days': 1, 'bl_number': 'BL-MAT-0027', 'port_of_loading': 'Busan', 'port_of_discharge': 'Busan, Republic of Korea', 'receiving_company_location': '옷감사 공장', 'round_trip_candidate': False, 'round_trip_target_shipment_id': None, 'free_storage_until': None, 'risk_stage': 'normal_variation', 'report_id': 'demo-MAT-0027'}",수신완료,2023-06-22T09:00:00
28,fabric,inbound,옷감사,플랫폼,agent_report_import,염료,원자재 입고 보고,옷감사 염료 입고. 공급사 Korea Dye Works. 납기 2023-06-21 / 실제 2023-06-24 / 지연 3일,"{'company_id': 1, 'company_name': '옷감사', 'material': '염료', 'material_display_name': '염료', 'qty': 10863.2, 'unit': 'kg', 'weight_kg': 10863.2, 'quantity_basis': 'agent_logic_required_qty_plus_buffer', 'supplier': 'Korea Dye Works', 'supplier_company': 'Korea Dye Works', 'arrival_date': '2023-06-24', 'due_date': '2023-06-21', 'order_date': '2023-05-07', 'delay_days': 3, 'bl_number': 'BL-MAT-0028', 'port_of_loading': 'Busan', 'port_of_discharge': 'Busan, Republic of Korea', 'receiving_company_location': '옷감사 공장', 'round_trip_candidate': False, 'round_trip_target_shipment_id': None, 'free_storage_until': None, 'risk_stage': 'normal_variation', 'report_id': 'demo-MAT-0028'}",수신완료,2023-06-24T09:00:00
